"","rowid","ID","Dataset","Class","Selected","Temp","TempSeas","Prec","PrecSeas","TWI","Canopy_Height","Less_than_1","Between_1_and_3","Between_3_and_10","Over_10","Vegetation_density","PhSurface","phDeep","aclaynor","afsandno","agsandno","asiltnor","Slope","Heat_Load_Index","Rank","habtype","MajorHab","UTMx...30","UTMy...31"
"1",1611,"101_491810","Novana_Stable","Stable","Yes",87,5410.12109375,836.825317382812,28.9702396392822,13572,224,0,1,0,0,8077,4.59265899658203,5.22683095932007,3.5,30.1000003814697,63.5999984741211,2.5,3,1464,1,7100,"71",476470,6170320
"2",1612,"105_491968","Novana_Increase","Increase","Yes",82.9456558227539,5574.79736328125,848.069091796875,24,9455,20,1,0,0,0,751,5.25665998458862,5.05742025375366,4.30000019073486,30.7999992370605,59.9000015258789,4.69999980926514,5,9193,1,6410,"64",507130,6168340
"3",1613,"107_492025","Novana_Decrease","Decrease","Yes",82.948356628418,5556.51611328125,866.71923828125,25,9760,284,0,1,0,0,1570,3.90457010269165,5.2997784614563,2,23.2999992370605,71.6999969482422,2.79999995231628,29,760,1,4010,"40",503360,6173690
"4",1614,"11_488249","Novana_Stable","Stable","Yes",82.9495544433594,5735.5419921875,704.334350585938,21.7217445373535,6507,110,0,1,0,0,1029,3.92505145072937,5.30859470367432,3.90000009536743,73,19,3.79999995231628,62,7500,1,NA,NA,563470,6331630
"5",1615,"119_492571","Novana_Increase","Increase","Yes",87,5765.34228515625,700.401489257812,20,8993,120,0,1,0,0,1955,7.28123617172241,6.90791893005371,9,43.7000007629395,36.5,10.5,3,9096,1,7230,"72",553850,6138940
"6",1616,"119_492574","Novana_Stable","Stable","Yes",87,5766.6806640625,701.408020019531,20,15997,132,0,1,0,0,8474,7.28151750564575,6.88627529144287,8.60000038146973,46.9000015258789,33.4000015258789,11,5,9096,1,1330,"13",554110,6138740
"7",1617,"12_488293","Novana_Decrease","Decrease","Yes",82.6916656494141,5713.23876953125,680.640441894531,21.7742958068848,6136,838,0,0,1,0,5270,5.78541946411133,6.36584711074829,6.80000019073486,49.0999984741211,36.7999992370605,7.09999990463257,253,8410,1,6210,"62",555020,6304790
"8",1618,"127_492881","Novana_Stable","Stable","Yes",85.9921264648438,5816.06201171875,610.620544433594,18,13828,1504,0,0,0,1,7644,4.45450592041016,4.65560007095337,9.10000038146973,27.8999996185303,54.0999984741211,8.69999980926514,1,19,1,7120,"71",587310,6110240
"9",1619,"127_492884","Novana_Stable","Stable","Yes",85.9921264648438,5816.06201171875,610.620544433594,18,12059,1582,0,0,0,1,7700,4.45125913619995,5.73200035095215,9.5,28,53.5999984741211,8.80000019073486,2,5262,1,7120,"71",587300,6110150
"10",1620,"129_492941","Novana_Stable","Stable","Yes",89,5877.31884765625,602.911560058594,18,15588,44,1,0,0,0,4740,7.88683700561523,8.55412864685059,11.8999996185303,38.9000015258789,33.5999984741211,15.3999996185303,3,9603,1,7210,"72",610950,6066560
"11",1621,"129_492943","Novana_Stable","Stable","Yes",89,5877.31884765625,602.911560058594,18,14086,27,1,0,0,0,3279,6.89900207519531,7.68939828872681,11.5,39.5,33.2999992370605,15.5,0,3208,1,7210,"72",610940,6066670
"12",1622,"129_492944","Novana_Stable","Stable","Yes",89,5877.31884765625,602.911560058594,18,15285,30,1,0,0,0,4462,7.88907098770142,8.55366706848145,12.1999998092651,39.4000015258789,32.0999984741211,16,1,4738,1,7210,"72",610990,6066760
"13",1623,"129_492949","Novana_Stable","Stable","Yes",89,5877.31884765625,602.911560058594,18,13812,32,1,0,0,0,4925,7.88524913787842,8.55366611480713,12.1999998092651,39.7000007629395,31.7000007629395,16.2000007629395,2,1114,1,7210,"72",611040,6066820
"14",1624,"129_492950","Novana_Stable","Stable","Yes",89,5877.31884765625,602.911560058594,18,16530,122,0,1,0,0,4770,7.72641468048096,8.55128765106201,11.3000001907349,38.2999992370605,34.7999992370605,15.3000001907349,6,1403,1,7210,"72",610990,6066640
"15",1625,"129_492953","Novana_Stable","Stable","Yes",89,5876.80615234375,604.689880371094,18,11620,27,1,0,0,0,3240,6.90330266952515,7.68487644195557,12.1000003814697,38.7000007629395,33.5,15.5,2,5436,1,7210,"72",610930,6066710
"16",1626,"129_492959","Novana_Stable","Stable","Yes",89,5877.31884765625,602.911560058594,18,13621,31,1,0,0,0,3646,7.88556098937988,8.55367374420166,12,39.2999992370605,32.4000015258789,16,4,627,1,7210,"72",611040,6066780
"17",1627,"129_492960","Novana_Stable","Stable","Yes",89,5877.31884765625,602.911560058594,18,16333,32,1,0,0,0,3368,7.82603931427002,8.55401706695557,11.5,39.2000007629395,33.5,15.6000003814697,1,7424,1,7210,"72",610990,6066700
"18",1628,"129_492961","Novana_Stable","Stable","Yes",89,5877.31884765625,602.911560058594,18,13915,33,1,0,0,0,4667,6.90037679672241,7.68405961990356,12.1999998092651,38.4000015258789,33.5,15.6999998092651,1,3455,1,7210,"72",610960,6066780
"19",1629,"129_492964","Novana_Stable","Stable","Yes",89,5876.80615234375,604.689880371094,18,11950,22,1,0,0,0,2701,7.886314868927,8.55374431610107,11.6000003814697,39.7999992370605,32.7999992370605,15.6999998092651,1,714,1,7210,"72",610920,6066650
"20",1630,"129_492966","Novana_Stable","Stable","Yes",89,5877.31884765625,602.911560058594,18,15155,31,1,0,0,0,4723,6.90037679672241,7.68405961990356,11.8000001907349,39.5999984741211,32.2999992370605,16.1000003814697,1,1,1,7210,"72",610980,6066800
"21",1631,"129_492967","Novana_Stable","Stable","Yes",89,5876.80615234375,604.689880371094,18,11480,22,1,0,0,0,3056,7.83057308197021,8.55337905883789,11.8999996185303,38.2999992370605,34.2000007629395,15.3999996185303,1,9668,1,7210,"72",610900,6066690
"22",1632,"129_492971","Novana_Stable","Stable","Yes",89,5877.31884765625,602.911560058594,18,13641,29,1,0,0,0,3830,7.8828067779541,8.55365657806396,12.1000003814697,39.2999992370605,32.4000015258789,16,0,9286,1,7210,"72",611020,6066750
"23",1633,"129_492974","Novana_Stable","Stable","Yes",89,5876.80615234375,604.689880371094,18,11701,27,1,0,0,0,3778,7.8356146812439,8.55322551727295,11.6999998092651,38.5,34.2000007629395,15.3999996185303,2,6378,1,7210,"72",610930,6066750
"24",1634,"129_492975","Novana_Stable","Stable","Yes",89,5877.31884765625,602.911560058594,18,15588,69,1,0,0,0,2497,7.87320709228516,8.55377578735352,11.8999996185303,38.9000015258789,33.5999984741211,15.3999996185303,1,9668,1,7210,"72",610960,6066570
"25",1635,"129_492976","Novana_Stable","Stable","Yes",89,5877.31884765625,602.911560058594,18,14913,31,1,0,0,0,4643,6.90308713912964,7.68403959274292,11.8999996185303,38.7000007629395,33.0999984741211,16.1000003814697,3,332,1,7210,"72",610960,6066820
"26",1636,"129_492977","Novana_Stable","Stable","Yes",89,5877.31884765625,602.911560058594,18,15155,34,1,0,0,0,4900,7.88869714736938,8.55364418029785,11.8000001907349,39.5999984741211,32.2999992370605,16.1000003814697,2,12,1,7210,"72",610990,6066790
"27",1637,"129_492979","Novana_Stable","Stable","Yes",89,5877.31884765625,602.911560058594,18,13343,52,1,0,0,0,3846,7.84208154678345,8.55346488952637,11.5,38.7999992370605,33.4000015258789,16,2,7270,1,7210,"72",611040,6066730
"28",1638,"13_488327","Novana_Decrease","Decrease","Yes",82.5595855712891,5745.8310546875,624.844543457031,20,10424,558,0,0,1,0,4334,4.77549982070923,5.76234912872314,3.20000004768372,57.7999992370605,35,3.79999995231628,117,8410,1,6200,"62",559770,6285530
"29",1639,"13_488341","Novana_Decrease","Decrease","Yes",82.8897094726562,5749.0126953125,625.7861328125,20,7017,637,0,0,1,0,6797,5.76954507827759,5.75818538665771,3.70000004768372,50,40.2999992370605,5.90000009536743,88,3538,1,6200,"62",559940,6285500
"30",1640,"13_488355","Novana_Decrease","Decrease","Yes",82.5595855712891,5745.8310546875,624.844543457031,20,6051,416,0,0,1,0,4205,3.90724015235901,5.71396636962891,3.5,56.7999992370605,35.5,4,266,4477,1,6210,"62",559700,6285520
"31",1641,"131_493012","Novana_Decrease","Decrease","Yes",85,5778.23974609375,716.601989746094,20,8330,286,0,1,0,0,4264,6.12618589401245,6.02965211868286,8.5,31.1000003814697,54.7999992370605,5.40000009536743,164,3875,1,7220,"72",562220,6136050
"32",1642,"134_493130","Novana_Decrease","Decrease","Yes",87.7281646728516,5782.61669921875,675.885681152344,19,13556,25,1,0,0,0,771,7.21196126937866,7.48716974258423,2.70000004768372,29.7999992370605,64.5,2.90000009536743,4,3,1,7230,"72",564250,6111610
"33",1643,"144_493482","Novana_Increase","Increase","Yes",87,5954.43017578125,591.286743164062,19,13466,6,1,0,0,0,20,7.18108987808228,8.67862319946289,8.60000038146973,49.2000007629395,37.2999992370605,4.69999980926514,2,468,1,2190,"21",707290,6105490
"34",1644,"144_493504","Novana_Increase","Increase","Yes",87,5954.43017578125,591.286743164062,19,8363,1537,0,0,0,1,7810,7.03692674636841,7.30507373809814,9.19999980926514,52.0999984741211,36.9000015258789,1.70000004768372,15,9532,1,2250,"22",707220,6105304
"35",1645,"145_493537","Novana_Increase","Increase","Yes",86.6336288452148,5949.96728515625,595.290161132812,19,11619,152,0,1,0,0,1458,6.32853746414185,8.65744876861572,7.69999980926514,58.0999984741211,29.5,4.5,3,4738,1,5130,"51",708800,6104060
